Date,Double/Triple Header Num,Team,Team (Long),League,Team Game Number,Home / Away,Opponent,Opponent (Long),Opponent's League,Opponent's Game Number,Team Score,Opponent's Score,Win,Loss,Tie,Win / Loss Margin,Day / Night,Park ID,Attendance,Game Length (Minutes),At Bats,Hits,Doubles,Triples,Home Runs,RBI,Sacrifice Hits,Sacrifice Flies,Hit By Pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into Double Plays,Awarded First on Catcher's Interference,Left on Base,Pitchers Used,Individual Earned Runs,Team Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
3/28/12,0,Mariners,Seattle Mariners,American,1,Away,Athletics,Oakland Athletics,American,1,3,1,1,0,0,2,N,TOK01,44227,184,39,9,1,0,1,3,1,0,0,0,0,4,2,1,1,0,4,3,1,1,0,0,33,7,1,0,0,0
3/29/12,0,Mariners,Seattle Mariners,American,2,Away,Athletics,Oakland Athletics,American,2,1,4,0,1,0,-3,N,TOK01,43391,143,30,3,0,0,1,1,0,0,0,1,0,7,0,0,0,0,3,4,4,4,0,0,24,7,0,0,0,0
4/4/12,0,Cardinals,St. Louis Cardinals,National,1,Away,Dodgers,Los Angeles Dodgers,National,1,4,1,1,0,0,3,N,MIA02,36601,162,37,13,3,0,0,4,1,0,0,3,2,5,1,1,0,0,10,4,1,1,0,0,27,10,0,0,1,0
4/5/12,0,Blue Jays,Toronto Blue Jays,American,1,Away,Indians,Cleveland Indians,American,1,7,4,1,0,0,3,D,CLE08,43190,314,56,10,3,0,2,7,0,1,1,7,1,16,0,0,3,0,10,8,4,4,0,0,48,20,1,0,3,0
4/5/12,0,Red Sox,Boston Red Sox,American,1,Away,Tigers,Detroit Tigers,American,1,2,3,0,1,0,-1,D,DET05,45027,187,32,5,2,1,0,2,0,1,0,1,0,8,1,0,0,0,5,5,3,3,0,0,25,7,0,0,3,0
4/5/12,0,Nationals,Washington Nationals,National,1,Away,Cubs,Chicago Cubs,National,1,2,1,1,0,0,1,D,CHI11,41176,155,32,4,1,0,0,2,0,0,0,6,0,10,1,0,0,0,9,3,1,1,0,0,27,9,1,0,1,0
4/5/12,0,Dodgers,Los Angeles Dodgers,National,2,Away,Reds,Cincinnati Reds,National,1,0,4,0,1,0,-4,D,CIN09,42956,164,29,3,1,0,0,0,0,0,0,2,0,8,0,1,0,0,4,3,4,4,0,0,24,13,1,0,1,0
4/5/12,0,Braves,Atlanta Braves,National,1,Away,Mets,New York Mets,National,1,0,1,0,1,0,-1,D,NYC20,42080,159,31,4,1,1,0,0,0,0,0,3,0,8,0,0,0,0,7,3,1,1,0,0,24,11,1,0,2,0
4/5/12,0,Phillies,Philadelphia Phillies,National,1,Away,Pirates,Pittsburgh Pirates,National,1,1,0,1,0,0,1,D,PIT08,39585,134,32,8,1,0,0,1,0,1,0,2,0,8,1,0,2,0,7,2,0,0,0,0,27,13,0,0,1,0
4/5/12,0,Dodgers,Los Angeles Dodgers,National,1,Away,Padres,San Diego Padres,National,1,5,3,1,0,0,2,D,SAN02,42941,176,33,7,2,0,1,5,0,0,1,5,0,10,0,1,0,0,7,6,3,3,1,0,27,14,0,0,1,0
4/6/12,0,Royals,Kansas City Royals,American,1,Away,Angels,Los Angeles Angels,American,1,0,5,0,1,0,-5,N,ANA01,44106,142,31,4,1,0,0,0,0,0,0,0,0,11,0,0,0,0,4,3,5,5,1,0,24,9,0,0,2,0
4/6/12,0,Twins,Minnesota Twins,American,1,Away,Orioles,Baltimore Orioles,American,1,2,4,0,1,0,-2,D,BAL12,46773,158,32,6,0,0,1,2,0,0,0,4,0,6,0,0,1,0,7,3,4,4,0,0,24,13,0,0,2,0
4/6/12,0,Mariners,Seattle Mariners,American,3,Away,Athletics,Oakland Athletics,American,3,7,3,1,0,0,4,N,OAK01,35067,186,36,13,2,0,0,6,1,2,0,4,0,6,2,0,2,0,9,4,3,3,0,0,27,11,1,1,1,0
4/6/12,0,Yankees,New York Yankees,American,1,Away,Rays,Tampa Bay Rays,American,1,6,7,0,1,0,-1,D,STP01,34078,224,37,9,1,0,1,5,0,0,1,7,0,6,0,0,1,0,12,4,7,7,0,0,25,8,0,0,1,0
4/6/12,0,White Sox,Chicago White Sox,American,1,Away,Rangers,Texas Rangers,American,1,2,3,0,1,0,-1,D,ARL02,49085,144,34,8,1,0,1,2,0,0,1,1,0,13,0,1,0,0,7,3,3,3,1,0,24,6,1,0,0,0
4/6/12,0,Giants,San Francisco Giants,National,1,Away,Diamondbacks,Arizona Diamondbacks,National,1,4,5,0,1,0,-1,D,PHO01,49130,173,37,11,3,0,1,4,1,0,0,2,0,6,0,0,0,0,9,4,5,5,0,0,24,12,3,0,0,0
4/6/12,0,Rockies,Colorado Rockies,National,1,Away,Astros,Houston Astros,National,1,5,3,1,0,0,2,N,HOU03,43464,191,36,8,2,0,1,4,1,1,0,3,0,3,3,0,0,0,9,3,3,3,0,0,27,13,0,0,1,0
4/6/12,0,Cardinals,St. Louis Cardinals,National,2,Away,Brewers,Milwaukee Brewers,National,1,11,5,1,0,0,6,D,MIL06,46086,188,40,16,4,0,4,11,1,0,0,7,0,6,2,0,0,0,10,4,5,5,1,0,27,8,0,0,2,0
4/6/12,0,Dodgers,Los Angeles Dodgers,National,2,Away,Padres,San Diego Padres,National,2,6,0,1,0,0,6,N,SAN02,32490,151,34,10,2,1,0,6,1,0,0,3,0,9,1,1,1,0,5,2,0,0,0,0,27,10,0,0,1,0
4/7/12,0,Royals,Kansas City Royals,American,2,Away,Angels,Los Angeles Angels,American,2,6,3,1,0,0,3,D,ANA01,40022,166,35,12,3,0,2,5,1,1,0,2,0,9,1,0,1,0,6,4,3,3,0,0,27,11,1,0,2,0
4/7/12,0,Twins,Minnesota Twins,American,2,Away,Orioles,Baltimore Orioles,American,2,2,8,0,1,0,-6,N,BAL12,31532,157,33,7,1,0,0,2,0,0,1,1,0,4,0,0,2,0,6,4,7,7,0,0,24,9,2,0,3,0
4/7/12,0,Blue Jays,Toronto Blue Jays,American,2,Away,Indians,Cleveland Indians,American,2,7,4,1,0,0,3,D,CLE08,18842,218,44,8,2,0,1,7,0,0,1,4,0,8,1,0,0,0,6,5,2,2,0,0,36,19,1,0,1,0
4/7/12,0,Red Sox,Boston Red Sox,American,2,Away,Tigers,Detroit Tigers,American,2,0,10,0,1,0,-10,D,DET05,44710,173,32,7,1,0,0,0,0,0,0,2,0,11,0,0,2,0,7,5,9,9,0,0,24,13,2,0,1,0
4/7/12,0,Mariners,Seattle Mariners,American,4,Away,Athletics,Oakland Athletics,American,4,8,7,1,0,0,1,N,OAK01,16612,178,38,13,1,2,1,8,0,0,0,1,0,5,1,2,0,0,4,5,7,7,2,0,27,4,0,0,0,0
4/7/12,0,Yankees,New York Yankees,American,2,Away,Rays,Tampa Bay Rays,American,2,6,8,0,1,0,-2,N,STP01,34078,200,32,9,1,1,1,6,0,1,0,7,0,6,0,0,2,0,7,3,6,6,0,0,24,11,1,0,2,0
4/7/12,0,White Sox,Chicago White Sox,American,2,Away,Rangers,Texas Rangers,American,2,4,3,1,0,0,1,N,ARL02,47867,156,32,5,1,0,1,4,0,0,0,3,0,7,1,0,0,0,4,5,3,3,0,1,27,5,0,0,0,0
4/7/12,0,Giants,San Francisco Giants,National,2,Away,Diamondbacks,Arizona Diamondbacks,National,2,4,5,0,1,0,-1,D,PHO01,34789,156,33,6,1,0,2,4,0,0,0,2,0,7,0,0,0,0,4,4,5,5,1,0,24,10,0,0,2,0
4/7/12,0,Nationals,Washington Nationals,National,2,Away,Cubs,Chicago Cubs,National,2,7,4,1,0,0,3,D,CHI11,40102,202,37,12,1,0,2,7,1,0,0,3,0,7,0,0,1,0,7,5,4,4,2,0,27,6,0,0,0,0
4/7/12,0,Dodgers,Los Angeles Dodgers,National,3,Away,Reds,Cincinnati Reds,National,2,8,3,1,0,0,5,N,CIN09,41662,178,38,12,3,1,3,8,0,0,0,5,0,9,3,0,1,0,8,2,3,3,0,0,27,15,1,0,1,0
4/7/12,0,Rockies,Colorado Rockies,National,2,Away,Astros,Houston Astros,National,2,3,7,0,1,0,-4,N,HOU03,23962,151,33,7,2,1,1,3,0,0,0,0,0,7,0,1,0,0,3,3,5,5,1,0,24,11,3,1,2,0
4/7/12,0,Cardinals,St. Louis Cardinals,National,3,Away,Brewers,Milwaukee Brewers,National,2,0,6,0,1,0,-6,D,MIL06,42084,171,32,6,0,0,0,0,0,0,0,0,0,8,0,0,1,0,5,4,6,6,0,0,24,10,1,0,1,0
4/7/12,0,Braves,Atlanta Braves,National,2,Away,Mets,New York Mets,National,2,2,4,0,1,0,-2,D,NYC20,39526,173,32,7,1,1,1,2,0,0,0,4,0,7,0,0,1,0,7,4,4,4,0,0,24,6,0,1,0,0
4/7/12,0,Phillies,Philadelphia Phillies,National,2,Away,Pirates,Pittsburgh Pirates,National,2,1,2,0,1,0,-1,N,PIT08,38885,193,36,7,0,0,0,1,1,0,0,3,0,6,1,0,1,0,9,6,2,2,1,0,29,12,0,0,1,0
4/7/12,0,Dodgers,Los Angeles Dodgers,National,3,Away,Padres,San Diego Padres,National,3,6,5,1,0,0,1,N,SAN02,31909,236,39,9,4,0,1,6,1,1,0,6,1,7,3,0,1,0,8,8,5,5,1,0,33,16,0,0,0,0
4/8/12,0,Royals,Kansas City Royals,American,3,Away,Angels,Los Angeles Angels,American,3,7,3,1,0,0,4,D,ANA01,32227,195,36,10,2,0,2,7,0,0,1,2,0,5,2,0,0,0,5,5,3,3,2,1,27,11,1,0,1,0
4/8/12,0,Twins,Minnesota Twins,American,3,Away,Orioles,Baltimore Orioles,American,3,1,3,0,1,0,-2,D,BAL12,14738,134,27,2,2,0,0,1,0,0,0,3,0,6,0,0,2,0,2,4,3,3,0,0,24,10,0,0,0,0
4/8/12,0,Blue Jays,Toronto Blue Jays,American,3,Away,Indians,Cleveland Indians,American,3,3,4,0,1,0,-1,D,CLE08,10518,171,36,9,2,0,0,3,0,1,0,2,0,5,0,0,1,0,9,3,4,4,0,0,24,12,1,0,1,0
4/8/12,0,Red Sox,Boston Red Sox,American,3,Away,Tigers,Detroit Tigers,American,3,12,13,0,1,0,-1,D,DET05,30788,285,49,18,4,0,1,11,1,1,3,4,0,11,1,0,0,0,13,5,13,13,2,0,32,11,0,0,1,0
4/8/12,0,Yankees,New York Yankees,American,3,Away,Rays,Tampa Bay Rays,American,3,0,3,0,1,0,-3,D,STP01,30413,181,30,3,3,0,0,0,0,0,0,4,0,4,1,0,0,0,7,5,3,3,0,0,24,3,0,0,0,0
4/8/12,0,White Sox,Chicago White Sox,American,3,Away,Rangers,Texas Rangers,American,3,0,5,0,1,0,-5,N,ARL02,45368,170,33,6,1,1,0,0,0,0,0,3,0,6,0,0,0,0,9,4,4,4,0,0,24,8,1,0,2,0
4/8/12,0,Giants,San Francisco Giants,National,3,Away,Diamondbacks,Arizona Diamondbacks,National,3,6,7,0,1,0,-1,D,PHO01,24193,188,35,6,2,0,1,5,0,0,1,4,0,7,0,0,2,0,7,5,6,6,0,0,24,7,3,0,1,0
4/8/12,0,Nationals,Washington Nationals,National,3,Away,Cubs,Chicago Cubs,National,3,3,4,0,1,0,-1,D,CHI11,31973,142,30,4,1,0,1,3,1,1,0,1,0,8,0,0,0,0,3,3,3,3,0,0,24,7,0,1,0,0
4/8/12,0,Dodgers,Los Angeles Dodgers,National,4,Away,Reds,Cincinnati Reds,National,3,5,6,0,1,0,-1,D,CIN09,23539,157,36,11,1,1,0,5,0,1,1,0,0,7,2,0,1,0,6,4,6,6,0,0,25,8,0,0,0,0
4/8/12,0,Rockies,Colorado Rockies,National,3,Away,Astros,Houston Astros,National,3,2,3,0,1,0,-1,D,HOU03,14195,165,32,5,1,0,1,2,0,0,1,4,0,9,0,0,0,0,8,3,1,1,0,0,24,7,1,0,1,0
4/8/12,0,Cardinals,St. Louis Cardinals,National,4,Away,Brewers,Milwaukee Brewers,National,3,9,3,1,0,0,6,D,MIL06,33211,188,41,14,2,0,2,9,0,0,1,3,0,12,0,0,0,0,9,3,3,3,0,0,27,4,0,0,0,0
4/8/12,0,Braves,Atlanta Braves,National,3,Away,Mets,New York Mets,National,3,5,7,0,1,0,-2,D,NYC20,27855,166,30,3,1,0,1,4,0,1,0,4,0,10,1,0,0,0,3,4,7,7,0,0,24,9,0,0,2,0
4/8/12,0,Phillies,Philadelphia Phillies,National,3,Away,Pirates,Pittsburgh Pirates,National,3,4,5,0,1,0,-1,D,PIT08,19856,180,30,5,1,0,1,4,2,0,0,4,1,7,2,0,1,0,5,5,3,3,0,0,26,12,1,0,1,0
4/8/12,0,Dodgers,Los Angeles Dodgers,National,4,Away,Padres,San Diego Padres,National,4,4,8,0,1,0,-4,D,SAN02,19021,167,33,4,0,0,2,4,0,0,0,1,0,5,0,0,1,0,3,5,7,7,0,0,24,9,2,0,1,0
4/9/12,0,Yankees,New York Yankees,American,4,Away,Orioles,Baltimore Orioles,American,4,6,2,1,0,0,4,N,BAL12,25478,186,33,11,2,0,1,6,1,1,1,7,0,2,1,1,2,0,10,3,2,2,0,0,27,8,0,0,2,0
4/9/12,0,White Sox,Chicago White Sox,American,4,Away,Indians,Cleveland Indians,American,4,4,2,1,0,0,2,N,CLE08,9473,162,37,11,3,0,2,4,0,0,0,3,0,10,0,1,0,0,9,4,2,2,0,0,27,12,1,0,1,0
4/9/12,0,Angels,Los Angeles Angels,American,4,Away,Twins,Minnesota Twins,American,4,5,1,1,0,0,4,D,MIN04,39414,170,33,6,2,0,0,5,1,0,0,2,0,6,0,0,0,0,4,3,1,1,1,0,27,21,0,0,3,0
